cit. average,size,volatility,relative volatility,JCR Abbreviated Title,citations of top-cited paper
3.557,97,1.796284364,1.02037455,MULTIVAR BEHAV RES,176
8.292,72,1.756455399,0.26876796,EARTH SYST SCI DATA,133
20.360,25,1.651666667,0.088285078,MAT SCI ENG R,60
23.888,259,1.65159678,0.074274354,NAT CHEM,450
11.917,48,1.640070922,0.159592823,BONE RES,89
22.571,49,1.633928571,0.07803838,ANNU REV IMMUNOL,101
8.088,34,1.63368984,0.253106877,NPJ COMPUT MATER,62
10.976,41,1.625609756,0.173862006,PROG PART NUCL PHYS,76
3.000,140,1.597122302,1.138461538,PHOTOGRAMM ENG REM S,225
6.206,248,1.590260546,0.344556452,J AM SOC ECHOCARDIOG,399
5.214,70,1.576604555,0.43340922,WIRES DEV BIOL,114
5.982,57,1.571741855,0.356346331,J SERV RES-US,94
7.024,84,1.565978199,0.286923158,NANO-MICRO LETT,137
16.396,225,1.565198413,0.10554017,JAMA ONCOL,367
17.857,42,1.56445993,0.096022241,WORLD PSYCHIATRY,82
4.800,5,1.55,0.476923077,ADV APPL MECH,11
7.047,279,1.535803615,0.278690212,NEURAL NETWORKS,434
30.465,114,1.526859183,0.052763024,NAT REV MICROBIOL,203
6.684,19,1.51754386,0.293718166,EXERC IMMUNOL REV,34
3.357,14,1.510989011,0.818452381,KIDNEY INT SUPPL,23
6.727,33,1.508522727,0.289058247,APPL MECH REV,55
24.758,33,1.507575758,0.064841968,PROG ENERG COMBUST,73
7.500,10,1.5,0.25,NEW ASTRON REV,21
9.586,191,1.486387435,0.183504622,EMBO MOL MED,292
6.214,28,1.473544974,0.310825893,BEHAV BRAIN SCI,46
25.077,181,1.444014733,0.061100764,LANCET NEUROL,285
31.137,234,1.441473167,0.048542166,NAT PHOTONICS,367
29.802,232,1.420771757,0.05006075,NAT BIOTECHNOL,358
9.174,23,1.401185771,0.180269514,PHYS LIFE REV,40
31.626,115,1.398016781,0.046248959,NAT REV NEUROSCI,191
14.875,40,1.387820513,0.10289924,J PHOTOCH PHOTOBIO C,69
16.318,776,1.384105421,0.092680292,CIRCULATION,1089
41.071,112,1.377734878,0.034709163,NAT REV IMMUNOL,194
11.645,31,1.34516129,0.130598184,ANNU REV BIOPHYS,52
9.636,11,1.336363636,0.161007667,ACTA NUMER,23
20.289,532,1.334671424,0.070413366,EUR HEART J,729
2.333,9,1.333333333,1.333333333,ACTA PHYS SLOVACA,13
6.474,78,1.331501832,0.258903134,GENOM PROTEOM BIOINF,109
3.474,95,1.32474804,0.61646691,BIOCHEM MEDICA,128
14.674,43,1.317275748,0.098619575,ANNU REV FLUID MECH,70
10.761,46,1.316425121,0.139386189,ANNU REV EARTH PL SC,70
9.746,252,1.307784734,0.154982988,EUR J HEART FAIL,338
3.604,48,1.306294326,0.568479938,ACTA ASTRONOM,65
8.265,49,1.286139456,0.184282668,PSYCHOTHER PSYCHOSOM,70
5.286,14,1.285714286,0.321428571,DIALOGUES HUM GEOGR,22
17.764,250,1.278056225,0.077523995,LANCET INFECT DIS,336
6.400,25,1.275,0.248780488,J ECON GROWTH,37
2.660,47,1.26827012,0.911569149,J URBAN TECHNOL,61
8.577,26,1.256923077,0.171710803,REV MINERAL GEOCHEM,40
